canonical_url,canonical_file,variant_count,variants
https://www.roadie.com/_downloads,_downloads.html,1,_downloads.html
https://www.roadie.com/about/security,about/security.html,1,about/security.html
https://www.roadie.com/blog,blog.html,1,blog.html
https://www.roadie.com/blog/2014/11/founders-note,blog/2014/11/founders-note.html,2,blog/2014/11/founders-note.html | blog/2014/11/founders-note﹖hs_amp=true.html
https://www.roadie.com/blog/2015/07/stories-from-the-open-road,blog/2015/07/stories-from-the-open-road.html,2,blog/2015/07/stories-from-the-open-road.html | blog/2015/07/stories-from-the-open-road﹖hs_amp=true.html
https://www.roadie.com/blog/2015/07/you-donate-we-deliver-for-free,blog/2015/07/you-donate-we-deliver-for-free.html,2,blog/2015/07/you-donate-we-deliver-for-free.html | blog/2015/07/you-donate-we-deliver-for-free﹖hs_amp=true.html
https://www.roadie.com/blog/2015/08/college-move-out,blog/2015/08/college-move-out.html,2,blog/2015/08/college-move-out.html | blog/2015/08/college-move-out﹖hs_amp=true.html
https://www.roadie.com/blog/2015/08/college-students-and-parents-your-first-delivery-is-free,blog/2015/08/college-students-and-parents-your-first-delivery-is-free.html,2,blog/2015/08/college-students-and-parents-your-first-delivery-is-free.html | blog/2015/08/college-students-and-parents-your-first-delivery-is-free﹖hs_amp=true.html
https://www.roadie.com/blog/2015/08/georgia-sunshine,blog/2015/08/georgia-sunshine.html,2,blog/2015/08/georgia-sunshine.html | blog/2015/08/georgia-sunshine﹖hs_amp=true.html
https://www.roadie.com/blog/2015/08/how-one-small-business-owner-saved-hundreds-on-shipping,blog/2015/08/how-one-small-business-owner-saved-hundreds-on-shipping.html,2,blog/2015/08/how-one-small-business-owner-saved-hundreds-on-shipping.html | blog/2015/08/how-one-small-business-owner-saved-hundreds-on-shipping﹖hs_amp=true.html
https://www.roadie.com/blog/2015/08/make-moving-easier,blog/2015/08/make-moving-easier.html,2,blog/2015/08/make-moving-easier.html | blog/2015/08/make-moving-easier﹖hs_amp=true.html
https://www.roadie.com/blog/2015/08/the-easiest-way-to-ship-a-couch,blog/2015/08/the-easiest-way-to-ship-a-couch.html,2,blog/2015/08/the-easiest-way-to-ship-a-couch.html | blog/2015/08/the-easiest-way-to-ship-a-couch﹖hs_amp=true.html
https://www.roadie.com/blog/2015/09/east-coast-blazin,blog/2015/09/east-coast-blazin.html,2,blog/2015/09/east-coast-blazin.html | blog/2015/09/east-coast-blazin﹖hs_amp=true.html
https://www.roadie.com/blog/2015/09/five-apps-to-make-moving-easier,blog/2015/09/five-apps-to-make-moving-easier.html,2,blog/2015/09/five-apps-to-make-moving-easier.html | blog/2015/09/five-apps-to-make-moving-easier﹖hs_amp=true.html
https://www.roadie.com/blog/2015/09/roadie-ludacris-collaboration,blog/2015/09/roadie-ludacris-collaboration.html,2,blog/2015/09/roadie-ludacris-collaboration.html | blog/2015/09/roadie-ludacris-collaboration﹖hs_amp=true.html
https://www.roadie.com/blog/2015/10/five-awesome-items-sent-with-roadie-in-september,blog/2015/10/five-awesome-items-sent-with-roadie-in-september.html,2,blog/2015/10/five-awesome-items-sent-with-roadie-in-september.html | blog/2015/10/five-awesome-items-sent-with-roadie-in-september﹖hs_amp=true.html
https://www.roadie.com/blog/2015/10/road-tripping-then-vs-now,blog/2015/10/road-tripping-then-vs-now.html,2,blog/2015/10/road-tripping-then-vs-now.html | blog/2015/10/road-tripping-then-vs-now﹖hs_amp=true.html
https://www.roadie.com/blog/2015/10/ship-a-bike-easier-and-cheaper-than-ever-before,blog/2015/10/ship-a-bike-easier-and-cheaper-than-ever-before.html,2,blog/2015/10/ship-a-bike-easier-and-cheaper-than-ever-before.html | blog/2015/10/ship-a-bike-easier-and-cheaper-than-ever-before﹖hs_amp=true.html
https://www.roadie.com/blog/2015/10/top-5-ways-to-buy-furniture-for-less,blog/2015/10/top-5-ways-to-buy-furniture-for-less.html,2,blog/2015/10/top-5-ways-to-buy-furniture-for-less.html | blog/2015/10/top-5-ways-to-buy-furniture-for-less﹖hs_amp=true.html
https://www.roadie.com/blog/2015/11/behind-the-scenes-creating-new-gig-alerts-make-money-sooner,blog/2015/11/behind-the-scenes-creating-new-gig-alerts-make-money-sooner.html,2,blog/2015/11/behind-the-scenes-creating-new-gig-alerts-make-money-sooner.html | blog/2015/11/behind-the-scenes-creating-new-gig-alerts-make-money-sooner﹖hs_amp=true.html
